alcohol,density,chlorides,volatile acidity,total sulfur dioxide,fixed acidity,quality
8.8,1.001,0.045,0.27,170.0,7.0,6
9.5,0.994,0.049,0.3,132.0,6.3,6
10.1,0.9951,0.05,0.28,97.0,8.1,6
9.9,0.9956,0.058,0.23,186.0,7.2,6
9.9,0.9956,0.058,0.23,186.0,7.2,6
10.1,0.9951,0.05,0.28,97.0,8.1,6
9.6,0.9949,0.045,0.32,136.0,6.2,6
8.8,1.001,0.045,0.27,170.0,7.0,6
9.5,0.994,0.049,0.3,132.0,6.3,6
11.0,0.9938,0.044,0.22,129.0,8.1,6
12.0,0.9908,0.033,0.27,63.0,8.1,5
9.7,0.9947,0.035,0.23,109.0,8.6,5
10.8,0.992,0.04,0.18,75.0,7.9,5
12.4,0.9912,0.044,0.16,143.0,6.6,7
9.7,1.0002,0.04,0.42,172.0,8.3,5
11.4,0.9914,0.032,0.17,112.0,6.6,7
9.6,0.9928,0.046,0.48,99.0,6.3,6
12.8,0.9892,0.029,0.66,75.0,6.2,8
11.3,0.9917,0.033,0.34,171.0,7.4,6
9.5,0.9955,0.044,0.31,133.0,6.5,5
12.8,0.9892,0.029,0.66,75.0,6.2,8
11.0,0.9912,0.038,0.31,102.0,6.4,7
10.5,0.993,0.049,0.26,122.0,6.8,8
9.3,0.9937,0.074,0.67,168.0,7.6,5
10.0,0.9951,0.052,0.27,142.0,6.6,6
10.4,0.9955,0.046,0.25,245.0,7.0,6
10.0,0.993,0.052,0.24,146.0,6.9,6
10.5,0.9961,0.051,0.28,141.0,7.0,6
11.6,0.9914,0.047,0.27,132.0,7.4,6
12.3,0.9906,0.033,0.32,114.0,7.2,7
10.0,0.9974,0.044,0.24,142.0,8.5,6
10.2,0.9934,0.042,0.14,47.0,8.3,6
10.8,0.992,0.05,0.25,100.0,7.4,6
9.0,0.9939,0.045,0.12,117.0,6.2,6
10.2,0.9962,0.044,0.27,179.0,5.8,5
12.8,0.9905,0.08,0.28,123.0,7.3,5
10.0,0.9934,0.051,0.39,149.0,6.5,5
11.2,0.9906,0.053,0.33,138.0,7.0,6
8.6,0.9999,0.057,0.24,149.0,7.3,5
8.6,0.9999,0.057,0.24,149.0,7.3,5
9.4,0.9937,0.172,0.23,158.0,6.7,6
9.4,0.9937,0.173,0.24,157.0,6.7,6
9.8,0.9954,0.069,0.31,160.0,7.0,6
9.5,0.9934,0.057,0.24,152.0,6.6,6
9.5,0.9934,0.06,0.23,154.0,6.7,6
10.0,0.9931,0.058,0.18,167.0,7.4,7
9.8,0.994,0.063,0.45,206.0,6.2,4
9.8,0.9939,0.066,0.46,207.0,6.2,5
9.8,0.9954,0.069,0.31,160.0,7.0,6
9.8,0.995,0.067,0.19,150.0,6.9,5
11.7,0.9917,0.062,0.19,173.0,7.2,6
11.0,0.9914,0.068,0.25,124.0,6.6,7
10.9,0.991,0.057,0.16,82.0,6.2,7
10.9,0.9911,0.045,0.18,108.0,6.4,6
9.1,0.993,0.147,0.2,132.0,6.8,6
11.0,0.9908,0.039,0.25,191.0,6.9,6
9.6,0.9962,0.043,0.21,213.0,7.2,6
8.9,0.9972,0.048,0.19,147.0,6.0,6
10.2,0.9931,0.044,0.38,78.0,6.6,6
9.9,0.9926,0.038,0.2,111.0,7.4,6
8.6,0.9951,0.092,0.22,123.0,6.8,6
8.9,0.9972,0.048,0.19,147.0,6.0,6
10.5,0.991,0.035,0.47,151.0,7.0,5
10.2,0.9931,0.044,0.38,78.0,6.6,6
10.3,0.9927,0.038,0.24,122.0,7.2,6
9.1,0.9934,0.064,0.35,120.0,6.2,5
12.6,0.9903,0.04,0.26,124.0,6.4,7
9.8,0.992,0.041,0.25,174.0,6.7,5
10.7,0.9926,0.046,0.23,96.0,6.7,8
9.5,0.9962,0.05,0.24,105.0,7.4,5
9.0,0.9956,0.056,0.27,244.0,6.2,6
9.5,0.9958,0.061,0.3,238.5,6.8,5
10.0,0.9964,0.063,0.27,201.0,6.0,5
9.1,0.9941,0.054,0.23,72.0,8.6,6
